[    0.000000] printk: log buffer data + meta data: 131072 + 557056 = 688128 bytes
[  178.414183] 8812eu: loading out-of-tree module taints kernel.
[  178.826518] usbcore: registered new interface driver rtl88x2eu
[10971.297967] rtl88x2eu 1-1.1:1.0 wlu1u1: entered promiscuous mode
[10971.318835] rtl88x2eu 1-1.1:1.0 wlu1u1: left promiscuous mode
[10976.545544] rtl88x2eu 1-1.1:1.0 wlu1u1: entered promiscuous mode
[10976.570687] rtl88x2eu 1-1.1:1.0 wlu1u1: left promiscuous mode
[10981.798124] rtl88x2eu 1-1.1:1.0 wlu1u1: entered promiscuous mode
[10981.834319] rtl88x2eu 1-1.1:1.0 wlu1u1: left promiscuous mode
[10987.049222] rtl88x2eu 1-1.1:1.0 wlu1u1: entered promiscuous mode
[10987.074195] rtl88x2eu 1-1.1:1.0 wlu1u1: left promiscuous mode
[10992.294320] rtl88x2eu 1-1.1:1.0 wlu1u1: entered promiscuous mode
[10992.318810] rtl88x2eu 1-1.1:1.0 wlu1u1: left promiscuous mode
[10997.542788] rtl88x2eu 1-1.1:1.0 wlu1u1: entered promiscuous mode
[10997.570567] rtl88x2eu 1-1.1:1.0 wlu1u1: left promiscuous mode
[11002.798070] rtl88x2eu 1-1.1:1.0 wlu1u1: entered promiscuous mode
[11002.834518] rtl88x2eu 1-1.1:1.0 wlu1u1: left promiscuous mode
[11008.049810] rtl88x2eu 1-1.1:1.0 wlu1u1: entered promiscuous mode
[11008.074207] rtl88x2eu 1-1.1:1.0 wlu1u1: left promiscuous mode
[11013.298870] rtl88x2eu 1-1.1:1.0 wlu1u1: entered promiscuous mode
[11013.334193] rtl88x2eu 1-1.1:1.0 wlu1u1: left promiscuous mode
[11018.554376] rtl88x2eu 1-1.1:1.0 wlu1u1: entered promiscuous mode
[11018.578282] rtl88x2eu 1-1.1:1.0 wlu1u1: left promiscuous mode
[11023.794447] rtl88x2eu 1-1.1:1.0 wlu1u1: entered promiscuous mode
[11023.818832] rtl88x2eu 1-1.1:1.0 wlu1u1: left promiscuous mode
[11029.058270] rtl88x2eu 1-1.1:1.0 wlu1u1: entered promiscuous mode
[11029.078314] rtl88x2eu 1-1.1:1.0 wlu1u1: left promiscuous mode
[11034.302445] rtl88x2eu 1-1.1:1.0 wlu1u1: entered promiscuous mode
[11034.318738] rtl88x2eu 1-1.1:1.0 wlu1u1: left promiscuous mode
